R (mm)	Uz_3p0_(m/s)	u'z_3p0_(m/s)	Uth_3p0_(m/s)	u'th_3p0_(m/s)	u'thSym_3p0_(m/s)	P	Q	S
-15.000	-0.055414	1.3298	5.4367	1.7833	1.4826			
-14.500	-0.072195	1.3079	5.6110	1.7319	1.5354			
-14.000	-0.025489	1.2818	5.7723	1.7751	1.5158			
-13.500	0.075628	1.3044	5.8816	1.6914	1.5722			
-13.000	0.0032500	1.2893	6.0984	1.8039	1.6230			
-12.500	0.037406	1.3318	6.3984	1.6861	1.6213			
-12.000	0.078633	1.3400	6.5297	1.8644	1.6848			
-11.500	0.097493	1.4014	6.8291	1.8157	1.7340	Trous 3.0mm		
-11.000	0.13440	1.4632	7.0195	1.9628	1.7562	SwirlNumber		
-10.500	0.19907	1.5798	7.3802	1.9900	1.8053	0.78		
-10.000	0.26044	1.6798	7.7212	2.0396	1.9343	Freq pvc 		
-9.5000	0.42580	1.8038	7.9623	2.1223	2.0891	1578 Hz		
-9.0000	0.59909	1.9141	8.3373	2.2081	2.2433			
-8.5000	0.93296	2.2591	8.6918	2.4112	2.5358			
-8.0000	1.5163	2.5259	9.1052	2.6207	2.9103			
-7.5000	2.2414	2.9022	9.5587	2.9978	3.4733			
-7.0000	3.6917	3.5874	9.9585	3.6149	4.1678			
-6.5000	5.9544	4.4927	10.484	4.2186	4.7849			
-6.0000	9.9722	5.7444	10.743	5.2023	5.3944			
-5.5000	18.529	8.8056	11.741	6.5184	6.6717			
-5.0000	27.038	8.9859	17.241	8.9134	7.7952			
-4.5000	28.449	11.304	22.168	12.211	8.2784			
-4.0000	25.122	12.169	21.055	11.852	8.2023			
-3.5000	20.703	11.870	18.462	10.447	7.7847			
-3.0000	15.350	10.639	15.199	8.6716	6.7249			
-2.5000	10.737	9.0051	11.424	6.9469	6.2194			
-2.0000	6.8130	7.4535	7.5225	7.2622	8.3345			
-1.5000	3.7211	5.8106	3.6468	10.010	10.867			
-1.0000	1.3696	4.3894	1.2014	11.765	11.872			
-0.50000	-0.30132	3.3625	0.17366	12.436	12.249			
0.0000	-0.98707	2.9626	-0.11491	12.447	12.447			
0.50000	-0.84711	3.0888	-0.25068	12.249	12.249			
1.0000	0.30058	3.7336	-0.48821	11.872	11.872			
1.5000	2.2315	4.8387	-1.8535	10.867	10.867			
2.0000	4.9174	6.5135	-4.8363	8.3345	8.3345			
2.5000	8.1642	8.2327	-8.4064	6.2194	6.2194			
3.0000	12.060	9.8564	-13.461	6.7249	6.7249			
3.5000	15.911	11.431	-16.613	7.7847	7.7847			
4.0000	20.203	12.604	-21.000	8.2023	8.2023			
4.5000	25.209	12.798	-22.000	8.2784	8.2784			
5.0000	28.670	11.605	-16.542	7.7952	7.7952			
5.5000	25.942	8.8758	-12.363	6.6717	6.6717			
6.0000	17.175	8.4590	-10.060	5.3944	5.3944			
6.5000	10.312	6.5452	-9.8957	4.7849	4.7849			
7.0000	6.3520	4.7546	-9.9502	4.1678	4.1678			
7.5000	4.0188	3.8244	-9.5260	3.4733	3.4733			
8.0000	2.6471	3.1207	-9.1527	2.9103	2.9103			
8.5000	1.7744	2.6868	-8.8445	2.5358	2.5358			
9.0000	1.1743	2.3483	-8.5095	2.2433	2.2433			
9.5000	0.91246	2.1120	-7.9747	2.0891	2.0891			
10.000	0.70776	1.9820	-7.7083	1.9343	1.9343			
10.500	0.55326	1.7754	-7.3586	1.8053	1.8053			
11.000	0.39556	1.6516	-7.0333	1.7562	1.7562			
11.500	0.35343	1.5202	-6.7435	1.7340	1.7340			
12.000	0.33598	1.4812	-6.5228	1.6848	1.6848			
12.500	0.30528	1.4288	-6.2449	1.6213	1.6213			
13.000	0.17155	1.3482	-5.9986	1.6230	1.6230			
13.500	0.19192	1.3396	-5.8521	1.5722	1.5722			
14.000	0.13255		-5.6924	1.5158	1.5158			
14.500	0.17898		-5.4553	1.5354	1.5354			
15.000	0.17989		-5.3216	1.4826	1.4826			
